number,Ibani,English
238,Ị te gbẹẹ-arị?,What are you grinding?
239,A sanị gbẹẹ-arị,I am grinding pepper.
240,gbii,sow
241,Ḅo A ịye-bite gbii,Come let me sow your dress.
242,Barana ịye-bite gbịị,Sow your clothes by yourself.
243,gbii,to throw
244,mgbolu ma pa n'gbii,Throw the stone at them.
245,Ị tegosi mgbọlụ pa n'gbii?,Why did you throw the stone at them?
246,Mịnị mgbọlụ pa fẹ-sịrị gbii ma,Stop throwing stones at the market.
247,dọghụ,look for
248,dọghụ,sought for
249,Ị te dọghụ-arị?,What are you looking for?
250,A ịye bite dọghụ-arị,I'm looking for my clothes.
251,dọghụ,want
252,A warị mu dọghụm,I want to go home.
253,A wamịna ama ẹgẹrẹ fie dọghụm,I want to speak our language.
254,dọghụ́,drive
255,dọghụ́,to paddle
256,Kiri arụ ma dọghụ tẹlẹma,Drive the car very well.
257,Ị kiri arụ ma dọghụ digha,You don't know how to drive the car.
258,A iye arụ ma dọghụarị,I am paddling my boat.
259,dọ́ghụ̄,burn
260,Warị ma dọghụ-arï,The house is burning.
261,Kiri-arụ ma dọghụm bịa dii,The car burnt last night.
262,ẹlẹlẹndẹ,orange
263,Mu ẹlẹlẹndẹ fẹ ḅo ịpịrị,Go and buy orange for me.
264,Mie ẹlẹlẹndẹ ḅẹlẹgha,This orange is not sweet.
265,ẹlẹlẹndẹ,green
266,A ẹlẹlẹndẹ tọrụ bite sua-ari,I'm wearing a green dress.
267,Ị ẹlẹlẹndẹ tọrụ agba pa wari ma tabem,You should paint the house with green paint.
268,faa,finished
269,Ịye fịnye ma faa mam,My food has finished.
270,Ọmịnà fịnye ṣọ faa ma?,Has your (plural+B280) food finished too?
271,faa,loss
272,Wamịna ama ẹgẹrẹ fafagha,Our language is never lost.
273,Wamịna ama ẹgẹrẹ ine fabịgha,Our language cannot be lost.
285,Sẹnịḅọ Daḅẹlẹma na o warị-apụ gbolomanye,The Family of Senibo Dabelema
286,Mie sẹnịbo Daḅẹlẹma warịapụ,Here is the family of Senibo Dabelema.
287,"Ị inẹ sẹnịḅọ Daḅẹlẹma, o taa na nna awọ na arị ḅẹm","You can see Senibo Dabelema, his wife and their children."
288,Awọ ma ọ tere apụ,The children are three.
289,Nnị ọ mmẹ kala-asa-awọ na gbere ọrụḅọtụwọ na,They are two boys and one girl.
290,Kala-asa-awọ ma ọ Ịpalịḅọ na Ịyala na,The boys are Ipalibo and Iyala.
291,Ọrụḅọtụwọ ma ọ Bieḅẹlẹ,The girl is Biebele.
292,Awọ ma na n'yii-apụ na dẹdẹfịnye fịarị,The children and their parents are taking their breakfast.
293,Nnị sọnọ apụ ma saa mamgba nyẹfị gboloma gbolomam,The five of them always eat together.
294,N'tẹ fịnye fị-arị?,What food are they taking?
295,Nnị fituru na nama ḅẹlẹkị na ọfịrị-mịngị akịarị,They are taking bread and butter with tea.
296,"Ọfịrị-mịngị ma omongo (ma) bie imim, anị ọfịrịm",The tea is in a jar and it is hot.
297,Anị ibigha ịkpoma gaga ofịrị-mịngị ḅu,It is not safe to drink very hot tea.
298,Nji na mịngị,A fish and water
299,Ogbo nji ine bile-faa bigha,A fish can't drown.
300,Kuma ani ine Bina-aru bile-faa bem pighi kini baa,But it can sink into water.
301,ḅó,come
302,mú,go
303,só,leave
304,ḅóarị,coming
305,múarị,going
306,sóarị,leaving
307,ḅóm,came
308,múm,went
309,sóm,left
310,ḅó mám,have come
311,mú mám,have gone
312,só mam,have left
313,ḅo ḅom,comes
314,mu mum,goes
315,so som,leaves
316,A ḅóarị,I am coming
317,A múarị,I am going
318,A sóarị,I am leaving
319,A ḅom biaene,I came yesterday
320,Baa-ene A ḅo ḅẹm,Tomorrow I will come
321,Enegbọrụ A ḅo ḅom,Every day I come
322,A mum pari,I went before
323,A mum tarisaa,I went before
324,Á ḅoarị,She is coming
325,O ḅoarị,He is coming
326,Wa ḅoarị,We are coming
327,Nni ḅoarị,They are coming
328,Anị- ḅoarị,It is coming
329,Á muarị,She is going
330,O muarị,He is going
331,Wa muari,We are going
332,Nni muari,They are going
333,Anị muarị,It is going
334,Á soarị,She is leaving
335,O soarị,He is leaving
336,Wa soarị,We are leaving
337,Nni soarị,They are leaving
338,Anị soarị,It is leaving
339,Ngẹẹ́,One
340,Mmẹẹ́,Two
341,Tẹ́rẹ́,Three
342,Íní,Four
343,Sọ́nọ́,Five
344,Sóníe,Six
345,Suene,Six
346,Sọ́nọ́ma,Seven
347,Íníne,Eight
348,Éséníé,Nine
349,Esiene,Nine
350,Óyí,Ten
351,Óyí ngẹẹ́ fíndí,Eleven
352,Oyi mmẹ fíndi,Twelve
353,Óyí tẹ́rẹ́ fíndí,Thirteen
354,Óyí iní fíndí,Fourteen
355,Jee,Fifteen
356,Íní fa sí,Sixteen
357,Tẹ́rẹ́ fa sí,Seventeen
358,Mmẹ́ fa sí,Eighteen
359,Ngẹẹ́ fa sí,Nineteen
360,Sí,Twenty
361,Sí ngẹẹ́ fíndí,Twenty-one
362,Sí mmẹ́ fíndí,Twenty-two
363,Sí tẹ́rẹ́ fíndí,Twenty-three
364,Sí iní fíndí,Twenty-four
365,Sí sọ́nọ́ fíndí,Twenty-five
366,Íní fa súé,Twenty-six
367,Tẹ́rẹ́ fa súé,Twenty-seven
368,Mmẹ́ fa súé,Twenty-eight
369,Ngẹẹ́ fa súé,Twenty-nine
370,Súé,Thirty
371,Sue ngẹẹ findi,Thirty-one
372,Sue mmẹ findi,Thirty-two
373,Sue tẹrẹ findi,Thirty-three
374,Sue ini fịndi,Thirty-four
375,Sue sọnọ findị,Thirty-five
376,Ini fa mmẹ-a-si,Thirty-six
377,Tẹrẹ fa mmẹ-a-si,Thirty-seven
378,Mmẹ fa mmẹ-a-si,Thirty-eight
379,Ngẹẹ fa mmẹ-a-si,Thirty-nine
380,Mmẹẹ-a-si,Forty
381,Owutụwọ ma,The man
382,Ọrụḅọ ma,The woman
383,Obiri ma,The dog
384,Oḅori ma,The goat
385,Warị ma,The house
386,Ịkasị ma,The chair
387,Warị-kiri ma,The floor
388,Bịtẹ ma,The cloth
389,Ḅẹlẹ ma,The pot
390,Akpa ma,The bag
391,Ịye daa,My father
392,Ịye yingi,My mother
393,Ịye awọ,My children
394,Ịye obiri,My dog
395,Ịye oḅori,My goat
396,Ịye ọbịọ,My chicken
397,Ịye ọbịọ,My fowl
398,Ịye diri,My book
399,Ịye akpa,My bag
400,Ịye ịkasị,My chair
401,Ịye agbagha,My shoe
402,Mie owutụwọ ma,This man
403,Mie ọrụḅọ ma,This woman
404,Mie obiri ma,This dog
405,Mie oḅori ma,This goat
406,Mie warị ma,This house
407,Mie ịkasị ma,This chair
408,Mie kiri ma,This floor
409,Mie bịtẹ ma,This cloth
410,Mie ḅẹlẹ ma,This pot
411,Mie akpa ma,This bag
412,Ị́ye daa,Your father
413,Ị́ye yingi,Your mother
414,Ị́ye awọ,Your children
415,Ị́ye obiri,Your dog
416,Ị́ye oḅori,Your goat
417,Ị́ye ọbịọ,Your chicken
418,Ị́ye ọbịọ,Your fowl
419,Ị́ye diri,Your book
420,Ị́ye akpa,Your bag
421,Ị́ye ịkasị,Your chair
422,Ị́ye agba,Your shoe
423,Si,suffer
424,Si-arị,suffering
425,Si-arịḅọ,One who suffers.
426,Si-arịḅọ fagha,One who is suffering doesn't lose.
427,Orubo ma toru-si ari-ari,The woman is suffering.
428,Ḅo ḅẹm,Future Tense (Will come)
429,A warị ḅo ḅẹm ḅaa,I will come to the house tomorrow.
430,A warị ḅo ḅẹm ḅa'ene,I will come to the house tomorrow.
431,A warị ḅo ḅẹm mịmgba,I will come to the house today.
432,A warị ḅo ḅẹm mịmgbaene,I will come to the house today.
433,Á warị ḅo ḅẹm mịngba,She will come to the house today.
434,O warị ḅo ḅẹm mie dedebie,He will come to the house this morning.
435,Wa warị ḅo ḅẹm ḅupiri saa,We will come to the house in the evening.
436,Wa warị ḅo ḅẹm ḅupiri biri,We will come to the house in the evening.
437,N'warị ḅo ḅẹm misabiri ḅaa,They will come home by this time tomorrow.
438,N'warị ḅo ḅẹm misabiri ḅaene,They will come home by this time tomorrow.
439,Anị mịnga ḅo ḅẹm dii bie,It will come here in the night.
440,Ị mịnga ḅo ḅẹm ḅaa dedebie ḅo ori ari,You will come here tomorrow morning to see him.
441,Ọ warị ḅo ḅẹm miesosa,You people will come to the house later.
442,A warị ḅo ḅẹm miesosa,I will come to the house later.
443,Ḅom,Came
444,"A warị ḅom bi'ene kuma, A ịarịgha",I came to the house yesterday but I didn't see you.
445,Árị iwarị ḅom bị'ene,She came to your house yesterday.
446,O mịnga ḅom mie eneḅaa ḅo ịdọghụ,He came here this afternoon to look for you.
447,Nnị n'yii-apụ pa diridawọwarị ḅom mimgbaene,They came to school with their parents today.
448,Wa warị ḅom kuma ịwarịbie ofori,We came to the house but you weren't in.
449,Anị pịghị mịnga ḅom bị'ene,It came here again yesterday.
450,Anị jepa mịnga ḅom bị'ene,It came here again yesterday.
451,Ị warị ḅom ḅo ịdọghụ bị'ene,You came to the house to look for me yesterday.
452,Ọ warị ḅom ḅo ịdọghụ bị'ene,You people came to look for me at home yesterday.
453,N' mịnga ḅom mie dedebíe,They came here this morning.
454,N' mie fẹ ma ḅom ḅo bịtẹ fẹ,They came to this market to buy clothes.
460,Fịnye ma (anị) ọ laa ma?,Has the food reached you?
465,"N'pa kuruari, n'fịnye ma fị dọghụm","They are still waiting, they want to eat the food."
469,Paịsịsị na Ibi ma mu,Greetings and Basic Phrases
470,Ibi ma mu,Goodbye
471,Paịsịsị,Please
472,ịmịẹḅam,Thank you
473,ịịn,Yes
474,ofori,No
475,ḅụdii,Sorry
476,Ịḅama,Good morning
477,ḅaḅa,Good night
478,Important Verbs,Actions
479,fini,be
480,nyana,have
481,mu,go
482,ḅo,come
483,mie,do
484,mie,make
485,arị,see
486,fị,eat
487,ḅú,drink
488,dughó,speak
489,Owutụwọ,Man
490,Ọrụḅọ,Woman
491,Tụwọ,Child
492,nangụọ,Friend
493,Furo,Family
495,Mingi,Water
496,Warị,House
497,kiri-arụ,Car
498,Fịrị,Work
499,Opu,Big
500,Kala,Small
501,Ibim,Good
502,Si,Bad
503,ịwọ,New
504,Olom,Old
505,Ibi,Beautiful
506,Fịafịa,Beautiful
507,Si,Ugly
508,Ọfịrị,Hot
509,Oḅughu,Cold
510,Ibani,English
511,Ḅo ḅẹm,Will come
537,N'mie fẹ ma ḅom ḅo bịtẹ fẹ,They came to this market to buy clothes.
538,Ḅo mam,Have come
539,A parịsa ịwarị ḅo mam,I have come to your house before.
540,A tarịsa ịwarị ḅo mam,I have come to your house before.
541,Á mie warị ḅo mam parịsa,She has come to this house before.
542,Á mie warị ḅo mam tarịsa,She has come to this house before.
543,O fịrị ḅo mam mịngbaene,He has come to work today.
544,N'fẹ́-siri ḅo mam mie eneḅabiri,They have come to the market this afternoon.
545,Wa ḅo wamịna igbi daakị dọghụm,We have come to collect our money.
546,Anị ḅo mam ḅo wa warị fịnye ma fị,It has come to eat the food we kept.
547,Anị ḅo mam ḅo wa warị fịnye ma fị dọghụarị,"It has come, wanting to eat the food we kept."
548,Anị ḅo mam ḅo wa warị fịnye ma fị dumarị,"It has come, wanting to eat the food we kept."
549,Ị mịsa warị ḅo mam,You have come home now 
550,Ị warị ḅo mam mịsa,You have come home now .
551,Ọ mịngba warị ḅo mam,You people have come to the house today.
552,Ọ warị ḅo mam mịngba,You people have come to the house today.
553,Na (ḅụ)gḅẹgha,Shouldn't have come
554,Ị mịnga ḅo na ḅụgḅẹgha mie dedebie,You shouldn't have come here this morning.
555,Ị mịnga ḅo na gḅẹgha mie dedebie,You shouldn't have come here this morning.
556,A mịnga ḅo na ḅụgbẹgha bị'ene,I shouldn't have come here yesterday.
557,A mịnga ḅo na gbẹgha bị'ene,I shouldn't have come here yesterday.
558,Á mịnga ḅo na ḅụgbẹgha eneḅa ḅụ,She shouldn't have come here in the afternoon.
559,Á mịnga ḅo na gbẹgha eneḅa ḅụ,She shouldn't have come here in the afternoon.
560,O mịnga ḅo na ḅụgbẹgha mie ḅupiri,He shouldn't have come here this evening.
561,O mịnga ḅo na gbẹgha mie ḅupiri,He shouldn't have come here this evening.
562,Wa mịnga ḅo na ḅụgbẹgha mịmgba,We shouldn't have come here today.
563,Wa mịnga ḅo na gbẹgha mịmgba,We shouldn't have come here today.
564,Nnị ịwarị ḅo na ḅụgbẹgha mimgbaene,They shouldn't have come to my house today.
565,Nnị ịwarị ḅo na gbẹgha mimgbaene,They shouldn't have come to my house today.
566,Ọmịnị ịwarị ḅo na ḅụgbẹgha A ọsịgha saa,You people shouldn't have come to my house uninvited when I didn't call you.
567,Ọmịnị ịwarị ḅo na gbẹgha A ọsịgha saa,You people shouldn't have come to my house uninvited when I didn't call you.
568,Ọmịnị ịwarị ḅo na ḅụgbẹgha A ọsịgha ḅụ,You people shouldn't have come to my house uninvited without me calling you.
569,Ọmịnị ịwarị ḅo na gbẹgha A ọsịgha ḅụ,You people shouldn't have come to my house uninvited without me calling you.
570,Anị mịnga ḅo sị wamịna fịnyẹ ma fị na ḅụgbẹgha,It shouldn't have come here to eat our food.
571,Anị mịnga ḅo sị wamịna fịnyẹ ma fị na gbẹgha,It shouldn't have come here to eat our food.
572,saghi,get up
573,saghi,arise
574,Anịnga saghi,Get up there.
575,Saghi wa warị mu,Get up let's go home.
576,saghi,from
577,I te ama saghi ḅo?,Where do you come from?
578,A Okolo-ama saghi ḅom,I'm from Bonny.
579,saghi,start
580,Anị saghị fịrị wangị mam,It has started working.
581,Ị te saa saghị diridawọwarị mu be?,When will you start school?
582,nye saghi,pick up
583,Anị nyema saghị ịpịrị,Pick up that thing for me.
584,Ị nye ma saghị akị ma?,Have you picked up the thing?
585,ẹnwẹẹ́,take effect
586,Anị ẹnwẹẹ́ ịpịrị bịgha,It will not have effect on me (a curse).
587,Anị ẹnwẹẹ́ ịpịrị bịgha,It will not have effect on you (a curse).
588,Ị karị nye ma anị ẹnwẹm,What you invoked is effective.
589,ẹnwẹẹ́,asthma
590,ẹnwẹẹ́ kọlọ tụwọ ma ọlọm,The child has asthmatic cough.
591,A ẹnwẹẹ nyanagha,I don't have asthma.
592,fẹ,market
593,A fẹ muarị,I am going to the market.
594,Ịtaa fẹ mum,My wife went to the market.
595,fẹ,buy
596,A fẹ muarị sị mu ḅuru fẹ dọghụm,I am going to the market to buy yam.
597,Mu inyaụ fẹḅo ọkọm,Go and buy plantain for me.
598,fie,utter
599,fie,make a sound
600,Radio ma fiefiegha,The radio is not talking.
601,Ị farị-arị akwa ma ibima fiegha,The drum you are beating didn't sound well.
602,Anị fie?,Did it sound?
603,Ibima fiegha,It didn't sound well.
604,fie,speak
605,A nimigha ị Ịbanị ẹgẹrẹ fie dim,I don't know you know how to speak Ibani.
606,Ị Ịḅanị ẹgẹrẹ fie digha,You don't know how to speak Ịḅanị.
607,fie,blow (of wind)
608,Fọrụ fie-arị,Wind is blowing.
609,"Ḅo wa mu fọrụ timi, anị saghi fie-arị","Come let's go and take breeze, it has started blowing."
610,"Ḅo wa mu fọrụ timi, anị saghị fie mam","Come let's go and take breeze, it has started blowing."
611,Ịrụa ma kori pagha-ari anị mie mie ḅara Okoloma erekura saa,The sun was shining brightly as it always does in Bonny during the hot season.
612,Ịrụa ma kori pagha-ari anị mie mie ḅara Okoloma erekura bu,The sun was shining brightly as it always does in Bonny during the hot season.
613,"Aso-di(gh)e tọndọ ma nga, mma kuruapụ sefịnị arụ dọghụapụ dighiarị","By the traffic lights, two policemen stood watching the motorists."
614,"Aso-di(gh)e tọndọ ma nga, mma ologhukuu-apu sefịnị arụ dọghụapụ dighiarị","By the traffic lights, two policemen stood watching the motorists."
615,"Saa gonye gonye bu, nnị kiri-aru dọghụḅọ dasema dasema si olo pa aso di(gh)e- tondo ma olo ka-aribo kuu","Every now and then, they would stop a taxi driver for committing a traffic offense."
